+,108_hc413,400108,rep
+,111_hr1713,400176,rep
+,110_h363,400157,rep
+,108_hc413,400132,rep
+,106_hr303,400109,rep
+,108_h253,400144,rep
+,110_s2403,400111,rep
+,110_hr1173,400189,rep
+,106_s2323,400198,rep
-,102_h5333,400140,rep
+,105_hr143,400182,rep
+,105_h3853,400150,rep
-,105_hr433,400102,rep
+,110_h6493,400176,rep
+,111_h3763,400103,rep
+,105_h2813,400174,rep
+,111_hr273,400155,rep
+,111_hr893,400151,rep
+,105_h2203,400117,rep
-,111_hr653,400157,rep
+,109_h1463,400157,rep
+,111_hr1213,400154,rep
+,106_h1993,400104,rep
+,108_hc403,400187,rep
+,110_hr293,400163,rep
0,110_hr1243,400171,rep
+,110_h1773,400145,rep
+,108_h273,400154,rep
+,110_h513,400171,rep
+,109_h4843,400139,rep
+,109_h683,400129,rep
+,111_hc163,400101,rep
+,110_h1773,400171,rep
+,108_h4323,400196,rep
+,111_h1253,400183,rep
+,110_h5563,400185,rep
0,109_h503,400197,rep
+,110_h1483,400170,rep
-,105_h3,400187,rep
+,108_hr723,400179,rep
+,108_hc13,400156,rep
+,108_h923,400105,rep
+,109_h5253,400176,rep
+,110_h3043,400125,rep
-,109_h6143,400142,rep
-,109_h2863,400185,rep
+,109_h4843,400129,rep
+,103_h4003,400155,rep
+,111_s1793,400154,rep
+,111_hc223,400110,rep
+,108_h3723,400175,rep
+,105_h3,400106,rep
+,108_hc83,400176,rep
+,111_h5623,400189,rep
+,105_h3963,400149,rep
+,110_h2643,400103,rep
+,110_hr293,400196,rep
+,109_h5683,400115,rep
+,110_hr43,400177,rep
+,110_h3043,400198,rep
+,102_s3,400140,rep
-,110_hr1363,400123,rep
+,111_s383,400166,rep
+,109_h3283,400180,rep
+,110_h6003,400155,rep
+,109_hr523,400131,rep
+,109_h5013,400145,rep
+,108_h3873,400187,rep
+,106_hc213,400133,rep
+,111_h5013,400154,rep
+,102_h5333,400189,rep
+,106_hr433,400136,rep
+,109_h3673,400118,rep
+,110_hr663,400175,rep
-,110_hc103,400157,rep
+,110_hc103,400103,rep
+,106_hr443,400123,rep
+,110_h2643,400198,rep
+,110_hr203,400155,rep
+,111_hr1743,400129,rep
+,111_h813,400177,rep
+,108_h4663,400153,rep
+,108_hj73,400154,rep
+,109_h3,400183,rep
0,110_h5613,400190,rep
+,108_hc13,400199,rep
+,105_s1733,400142,rep
-,106_hj103,400177,rep
+,109_h5573,400148,rep
-,110_h3,400127,rep
+,105_h2343,400100,rep
+,109_h1053,400119,rep
+,110_h493,400125,rep
0,105_h3,400171,rep
+,108_s763,400174,rep
+,108_hc13,400127,rep
+,109_h5013,400140,rep
+,110_h1553,400183,rep
-,110_hr383,400139,rep
+,108_s763,400118,rep
+,111_h3993,400179,rep
+,101_h4793,400122,rep
+,108_hj73,400114,rep
