+,106_h3313,400156,rep
-,110_h3093,400182,rep
+,103_h2473,400126,rep
0,105_hr393,400138,rep
0,110_hr1133,400155,rep
+,109_h5013,400171,rep
+,110_h523,400100,rep
+,105_hr283,400121,rep
+,109_hr383,400147,rep
-,105_hr193,400166,rep
+,110_hr203,400198,rep
-,109_h6143,400129,rep
+,106_hc253,400190,rep
0,110_hc293,400185,rep
+,111_s383,400116,rep
+,108_h3873,400101,rep
-,104_h1833,400122,rep
+,108_h4053,400140,rep
+,108_hr473,400123,rep
+,111_h3123,400154,rep
+,105_h4103,400164,rep
-,111_h4173,400176,rep
-,109_hr623,400118,rep
+,109_hr783,400176,rep
-,110_hr403,400169,rep
+,110_hr1243,400144,rep
-,111_h4853,400182,rep
-,111_h1913,400145,rep
+,109_hr703,400160,rep
+,106_hc213,400176,rep
+,105_h1003,400126,rep
+,110_h3093,400172,rep
+,106_h573,400116,rep
+,110_h923,400163,rep
-,105_hr433,400178,rep
+,106_h193,400140,rep
+,110_hc203,400127,rep
+,108_hc393,400197,rep
+,109_hr193,400141,rep
+,105_h2863,400110,rep
+,111_h1243,400185,rep
+,110_h6063,400198,rep
-,106_hj103,400159,rep
+,110_h6633,400125,rep
0,111_hr1133,400178,rep
+,111_hc93,400140,rep
-,105_hr283,400133,rep
+,110_hr933,400165,rep
+,105_hc213,400107,rep
+,108_h1533,400152,rep
+,105_hr463,400179,rep
+,105_h4103,400179,rep
+,105_h2183,400130,rep
-,106_h853,400121,rep
+,108_h2443,400182,rep
+,105_h1003,400199,rep
+,105_hc133,400125,rep
+,103_h4003,400163,rep
0,109_h2563,400138,rep
+,110_h3963,400111,rep
+,111_hr1613,400133,rep
-,108_hr713,400178,rep
+,111_h1933,400107,rep
+,111_hr1543,400102,rep
+,110_hr293,400198,rep
+,110_hc193,400115,rep
+,105_h1003,400119,rep
-,110_h2693,400165,rep
+,106_h4033,400192,rep
+,110_hr293,400179,rep
+,109_h6143,400150,rep
+,109_hr723,400141,rep
+,106_h3293,400129,rep
-,106_hr253,400138,rep
0,108_s703,400104,rep
-,110_h1483,400144,rep
+,108_hc13,400148,rep
+,111_hr1203,400177,rep
+,106_hr443,400142,rep
+,110_h6983,400122,rep
+,109_hr23,400121,rep
+,109_h503,400101,rep
+,111_h4853,400152,rep
+,110_hc293,400124,rep
+,110_h3403,400155,rep
+,111_h5623,400176,rep
-,108_h163,400175,rep
+,105_hr143,400180,rep
+,111_hr183,400111,rep
+,101_h3,400165,rep
-,110_hc103,400196,rep
+,106_h3293,400154,rep
+,108_h1533,400155,rep
+,109_hr623,400150,rep
+,111_hr183,400141,rep
-,105_h2003,400109,rep
-,109_h5013,400185,rep
+,110_h513,400149,rep
+,108_h253,400104,rep
+,110_h1143,400118,rep
+,111_h4853,400110,rep
+,110_h6493,400132,rep
+,111_h1933,400125,rep
-,103_h3,400191,rep
-,108_h4663,400189,rep
+,111_hr543,400119,rep
+,109_hr723,400175,rep
+,106_h1883,400177,rep
+,106_hc253,400194,rep
+,110_hr963,400110,rep
+,110_h4253,400195,rep
+,109_s2803,400132,rep
0,111_h4773,400170,rep
+,108_s23,400196,rep
+,111_hr1133,400129,rep
+,105_hr143,400148,rep
-,105_hr573,400112,rep
+,108_hc13,400185,rep
-,109_hr783,400101,rep
+,105_hr393,400139,rep
+,109_h323,400186,rep
+,108_hr723,400124,rep
-,102_h3603,400150,rep
+,108_h743,400171,rep
+,103_h4003,400103,rep
+,108_hr423,400139,rep
-,109_hr553,400102,rep
-,105_hr433,400101,rep
0,111_hr153,400178,rep
+,108_hr433,400138,rep
+,109_h4843,400141,rep
+,105_hr393,400153,rep
+,106_hc213,400114,rep
+,106_h5203,400153,rep
+,109_s2803,400145,rep
+,109_h5683,400183,rep
